Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Obama,Romney,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Angus-Reid,2012-11-01,2012-11-03,2012-11-06T08:47:46Z,1019,Likely Voters,Internet,51.0,48.0,,1.0,https://elections.huffingtonpost.com/pollster/polls/angus-reid-16676,http://www.angus-reid.com/polls/47681/obama-holds-upper-hand-over-romney-in-national-u-s-race/,Nonpartisan,None,,1
NBC/WSJ,2012-11-01,2012-11-03,2012-11-04T09:12:21Z,1475,Likely Voters,Live Phone,48.0,47.0,3.0,2.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16546,http://firstread.nbcnews.com/_news/2012/11/04/14924205-final-national-nbcwsj-poll-before-tuesday-obama-48-percent-romney-47-percent?lite,Nonpartisan,None,,1
YouGov,2012-10-31,2012-11-03,2012-11-04T16:24:50Z,36472,Likely Voters,Internet,49.0,47.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-16573,http://cdn.yougov.com/r/1/ygTabs_november_likelyvoters_National.pdf,Nonpartisan,None,,1
Pew,2012-10-31,2012-11-03,2012-11-04T15:46:59Z,2709,Likely Voters,Live Phone,48.0,45.0,,3.0,https://elections.huffingtonpost.com/pollster/polls/pew-16568,http://www.people-press.org/2012/11/04/obama-gains-edge-in-campaigns-final-days/,Nonpartisan,None,,1
UPI/CVOTER,2012-11-02,2012-11-02,2012-11-03T16:40:44Z,1074,Likely Voters,Live Phone,49.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16520,"",Nonpartisan,None,,1
Rasmussen,2012-10-31,2012-11-02,2012-11-03T10:54:09Z,1500,Likely Voters,Automated Phone,48.0,48.0,2.0,1.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-16498,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Purple Strategies,2012-10-31,2012-11-01,2012-11-02T12:31:41Z,1000,Likely Voters,IVR/Online,47.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/purple-strategies-16463,http://www.purplestrategies.com/wp-content/uploads/November110212_v4.pdf,Nonpartisan,None,,1
JZ Analytics/Newsmax,2012-10-30,2012-11-01,2012-11-02T22:57:27Z,1030,Likely Voters,Internet,48.0,46.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16483,http://www.jzanalytics.com/,Sponsor,Rep,,1
PPP (D-Americans United for Change),2012-10-30,2012-11-01,2012-11-02T05:46:11Z,1200,Likely Voters,Automated Phone,49.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16442,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_111.pdf,Sponsor,Dem,,1
Politico/GWU/Battleground,2012-10-29,2012-11-01,2012-11-04T08:42:53Z,1000,Likely Voters,Live Phone,48.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16544,https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/downloads/Questionnaire%20and%20Results_6.pdf,Nonpartisan,None,,1
UPI/CVOTER,2012-10-26,2012-11-01,2012-11-02T11:49:24Z,1094,Likely Voters,Live Phone,48.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16459,http://www.scribd.com/doc/111916274/UPI-CVoter-International-tracking-poll-11-2,Nonpartisan,None,,1
Washington Times/JZ Analytics,2012-10-29,2012-10-31,2012-11-04T06:37:30Z,800,Likely Voters,Live Phone,49.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-16540,http://www.washingtontimes.com/news/2012/nov/1/poll-shows-obama-romney-in-a-dead-heat/,Nonpartisan,None,,1
ABC/Post,2012-10-28,2012-10-31,2012-11-01T17:05:21Z,1293,Likely Voters,Live Phone,49.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/abc-post-16436,http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/01/wapo-abc-tracking-poll-presidential-contest-as-close-as-close-can-be/,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-10-27,2012-10-31,2012-10-31T14:56:53Z,4085,Likely Voters,Internet,47.0,46.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16379,http://big.assets.huffingtonpost.com/ipsos103112.pdf,Nonpartisan,None,,1
FOX,2012-10-28,2012-10-30,2012-10-31T18:19:21Z,1128,Likely Voters,Live Phone,46.0,46.0,6.0,1.0,https://elections.huffingtonpost.com/pollster/polls/fox-16385,http://www.foxnews.com/politics/interactive/2012/10/31/fox-news-poll-race-for-white-house-dead-heat/,Nonpartisan,None,,1
Rasmussen,2012-10-28,2012-10-30,2012-10-31T10:39:13Z,1500,Likely Voters,Automated Phone,47.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-16363,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
High Point University,2012-10-22,2012-10-30,2012-11-01T13:19:44Z,805,Registered Voters,Live Phone,46.0,43.0,11.0,1.0,https://elections.huffingtonpost.com/pollster/polls/high-point-university-16425,http://acme.highpoint.edu/~mkifer/src/19release.pdf,Nonpartisan,None,,1
JZ Analytics/Newsmax,2012-10-27,2012-10-29,2012-10-30T17:16:32Z,1073,Likely Voters,Internet,46.0,47.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16339,http://www.jzanalytics.com/,Sponsor,Rep,,1
YouGov/Economist,2012-10-26,2012-10-28,2012-10-31T10:50:02Z,688,Likely Voters,Internet,48.0,47.0,1.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-16365,http://today.yougov.com/news/2012/10/31/hurricane-sandy-obama-one/,Nonpartisan,None,,1
PPP (D-Americans United for Change),2012-10-26,2012-10-28,2012-10-29T09:34:59Z,1200,Likely Voters,Automated Phone,48.0,49.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16259,http://www.publicpolicypolling.com/pdf/2011/102610271028TrackerResults.pdf,Sponsor,Dem,,1
United Technologies/National Journal,2012-10-25,2012-10-28,2012-10-31T15:01:15Z,713,Likely Voters,Live Phone,50.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/united-technologies-national-journal-16380,http://www.nationaljournal.com/daily/anger-aside-voters-favor-d-c-status-quo-20121031,Nonpartisan,None,,1
CBS/Times,2012-10-25,2012-10-28,2012-10-30T22:58:00Z,563,Likely Voters,Live Phone,48.0,47.0,3.0,1.0,https://elections.huffingtonpost.com/pollster/polls/cbs-times-16346,http://big.assets.huffingtonpost.com/OctQuin.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-10-25,2012-10-28,2012-10-30T11:31:10Z,1400,Likely Voters,Automated Phone,49.0,49.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16322,http://www.dailykos.com/weeklypolling/2012/10/25,Sponsor,Dem,,1
ARG,2012-10-25,2012-10-28,2012-10-29T14:35:29Z,1200,Likely Voters,Live Phone,48.0,48.0,3.0,1.0,https://elections.huffingtonpost.com/pollster/polls/arg-16284,http://americanresearchgroup.com/pres2012/NA12.html,Nonpartisan,None,,1
Pew,2012-10-24,2012-10-28,2012-10-29T13:56:16Z,1495,Likely Voters,Live Phone,47.0,47.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/pew-16283,http://www.people-press.org/2012/10/29/presidential-race-dead-even-romney-maintains-turnout-edge/,Nonpartisan,None,,1
Gallup,2012-10-22,2012-10-28,2012-10-29T12:59:56Z,2700,Likely Voters,Live Phone,46.0,51.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-16279,http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-10-25,2012-10-27,2012-10-28T09:31:47Z,1500,Likely Voters,Automated Phone,47.0,50.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-16236,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
ABC/Post,2012-10-24,2012-10-27,2012-10-29T06:28:26Z,1278,Likely Voters,Live Phone,48.0,49.0,1.0,2.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-16257,http://www.washingtonpost.com/blogs/the-fix/wp/2012/10/29/wapo-abc-track-49-romney-48-obama-three-days-running/,Nonpartisan,None,,1
IBD/TIPP,2012-10-22,2012-10-27,2012-10-28T14:53:09Z,942,Likely Voters,Live Phone,45.0,44.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16244,http://news.investors.com/special-report/508415-ibdtipp-poll.aspx,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-10-22,2012-10-26,2012-10-26T15:08:31Z,1237,Likely Voters,Internet,47.0,46.0,5.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16209,http://big.assets.huffingtonpost.com/ipsos102612.pdf,Nonpartisan,None,,1
NPR,2012-10-23,2012-10-25,2012-10-30T09:17:17Z,1000,Likely Voters,Live Phone,47.0,48.0,5.0,1.0,https://elections.huffingtonpost.com/pollster/polls/npr-16310,http://media.npr.org/documents/2012/oct/NPROctpoll.pdf,Pollster,Dem,,1
PPP (D-Americans United for Change),2012-10-23,2012-10-25,2012-10-26T06:15:25Z,1200,Likely Voters,Automated Phone,48.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16177,http://www.publicpolicypolling.com/pdf/2011/102310241025Results.pdf,Sponsor,Dem,,1
Politico/GWU/Battleground,2012-10-22,2012-10-25,2012-10-29T09:14:17Z,1000,Likely Voters,Live Phone,49.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16258,http://images.politico.com/global/2012/10/politico_gwbgp_oct29_questionnaire.html,Nonpartisan,None,,1
UPI/CVOTER,2012-10-19,2012-10-25,2012-10-27T10:03:41Z,1203,Likely Voters,Live Phone,48.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16216,http://big.assets.huffingtonpost.com/upi102612.pdf,Nonpartisan,None,,1
Rasmussen,2012-10-22,2012-10-24,2012-10-25T09:32:18Z,1500,Likely Voters,Automated Phone,47.0,50.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-16130,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
ABC/Post,2012-10-20,2012-10-23,2012-10-24T17:07:36Z,1394,Likely Voters,Live Phone,48.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/abc-post-16125,http://www.washingtonpost.com/blogs/the-fix/wp/2012/10/24/post-abc-tracking-poll-obama-wins-final-debate-romney-gains-supporters/,Nonpartisan,None,,1
AP-GfK,2012-10-19,2012-10-23,2012-10-25T10:14:51Z,839,Likely Voters,Live Phone,45.0,47.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/ap-gfk-16135,http://ap-gfkpoll.com/main/wp-content/uploads/2012/10/AP-GfK-Poll-October-2012-Topline_POLITICS.pdf,Nonpartisan,None,,1
PPP (D-Americans United for Change),2012-10-20,2012-10-22,2012-10-23T11:16:02Z,1200,Likely Voters,Automated Phone,47.0,49.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16072,http://www.publicpolicypolling.com/pdf/2011/102010211022TrackingPoll.pdf,Sponsor,Dem,,1
YouGov/Economist,2012-10-20,2012-10-22,2012-10-23T10:27:03Z,803,Likely Voters,Internet,48.0,46.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-16066,http://cdn.yougov.com/cumulus_uploads/document/75qcgwj577/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-10-19,2012-10-21,2012-10-22T09:58:53Z,1500,Likely Voters,Automated Phone,47.0,49.0,2.0,2.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-16016,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-10-18,2012-10-21,2012-10-23T12:25:24Z,1300,Likely Voters,Automated Phone,48.0,48.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16074,http://www.dailykos.com/weeklypolling/2012/10/18,Sponsor,Dem,,1
ARG,2012-10-18,2012-10-21,2012-10-22T12:59:26Z,1200,Likely Voters,Live Phone,47.0,49.0,3.0,1.0,https://elections.huffingtonpost.com/pollster/polls/arg-16025,http://americanresearchgroup.com/pres2012/NA12.html,Nonpartisan,None,,1
Democracy Corps (D),2012-10-18,2012-10-21,2012-10-22T12:40:46Z,1000,Likely Voters,Live Phone,49.0,46.0,3.0,2.0,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16024,http://www.democracycorps.com/attachments/article/918/dcor.ecn.fq.102112.pol.v2.pdf,Pollster,Dem,,1
Monmouth,2012-10-18,2012-10-21,2012-10-22T12:39:44Z,1402,Likely Voters,IVR/Live Phone,45.0,48.0,5.0,3.0,https://elections.huffingtonpost.com/pollster/polls/monmouth-16023,http://www.monmouth.edu/assets/0/84/159/2147483694/0e2e970e-a544-4f4d-8659-6233705b8ae7.pdf,Nonpartisan,None,,1
IBD/TIPP,2012-10-16,2012-10-21,2012-10-22T14:07:47Z,885,Likely Voters,Live Phone,47.0,43.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16038,http://news.investors.com/special-report/508415-ibdtipp-poll.aspx,Nonpartisan,None,,1
Gallup,2012-10-15,2012-10-21,2012-10-22T13:01:44Z,2700,Likely Voters,Live Phone,45.0,51.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-16026,http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx,Nonpartisan,None,,1
Washington Times/JZ Analytics,2012-10-18,2012-10-20,2012-10-22T06:31:31Z,800,Likely Voters,Live Phone,50.0,47.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-16013,http://www.washingtontimes.com/news/2012/oct/21/obama-leads-in-latest-poll-as-romneyloses-bounce/,Nonpartisan,None,,1
CBS,2012-10-17,2012-10-20,2012-10-22T23:10:38Z,790,Likely Voters,Live Phone,48.0,46.0,5.0,1.0,https://elections.huffingtonpost.com/pollster/polls/cbs-16057,http://www.cbsnews.com/8301-250_162-57537588/poll-ahead-of-third-debate-obama-leads-on-foreign-policy/?pageNum=2&tag=page,Nonpartisan,None,,1
NBC/WSJ,2012-10-17,2012-10-20,2012-10-21T10:08:51Z,816,Likely Voters,Live Phone,47.0,47.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16000,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/nbc_oct_poll.pdf,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-10-16,2012-10-20,2012-10-21T08:42:23Z,1368,Likely Voters,Internet,46.0,45.0,6.0,2.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15996,http://big.assets.huffingtonpost.com/Ipsos102012.pdf,Nonpartisan,None,,1
PPP (D-Americans United for Change),2012-10-17,2012-10-19,2012-10-20T08:55:15Z,1200,Likely Voters,Automated Phone,49.0,47.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-15976,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_1019Evening.pdf,Sponsor,Dem,,1
Gravis Marketing,2012-10-18,2012-10-18,2012-10-19T15:46:03Z,805,Likely Voters,Automated Phone,44.0,46.0,10.0,,https://elections.huffingtonpost.com/pollster/polls/gravis-marketing-15965,http://www.gravispolls.com/2012/10/national-presidential-pollromney-46.html,Nonpartisan,None,,1
Rasmussen,2012-10-16,2012-10-18,2012-10-19T10:14:58Z,1500,Likely Voters,Automated Phone,48.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15944,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-10-14,2012-10-18,2012-10-22T06:21:29Z,1000,Likely Voters,Live Phone,47.0,49.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16012,http://images.politico.com/global/2012/10/politico_gwbgp_oct22_questionnaire.html,Nonpartisan,None,,1
UPI/CVOTER,2012-10-11,2012-10-18,2012-10-20T12:58:20Z,1254,Likely Voters,Live Phone,46.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-15987,http://www.upi.com/Top_News/US/2012/10/20/UPI-Poll-Obama-cuts-into-Romney-lead/UPI-19991350739458/,Nonpartisan,None,,1
UConn/Hartford Courant,2012-10-11,2012-10-16,2012-10-19T12:23:25Z,1023,Likely Voters,Live Phone,48.0,45.0,6.0,1.0,https://elections.huffingtonpost.com/pollster/polls/uconn-hartford-courant-15952,http://articles.courant.com/2012-10-19/news/hc-president-poll-uconn-courant-20121018_1_hartford-courant-poll-gender-gap-new-hampshire-survey-center,Nonpartisan,None,,1
YouGov/Economist,2012-10-13,2012-10-15,2012-10-17T11:40:18Z,826,Likely Voters,Internet,47.0,46.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-15873,http://today.yougov.com/news/2012/10/17/likely-voters-give-president-one-point-edge/,Nonpartisan,None,,1
Rasmussen,2012-10-13,2012-10-15,2012-10-16T10:13:05Z,1500,Likely Voters,Automated Phone,47.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15817,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-10-11,2012-10-15,2012-10-15T15:27:24Z,1864,Likely Voters,Internet,47.0,45.0,7.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15806,http://big.assets.huffingtonpost.com/ipsos101512.pdf,Nonpartisan,None,,1
IBD/TIPP,2012-10-10,2012-10-15,2012-10-16T14:39:56Z,931,Likely Voters,Live Phone,47.0,46.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/ibd-tipp-15832,http://news.investors.com/special-report/508415-ibdtipp-poll.aspx#ixzz29UJMj9LB,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-10-12,2012-10-14,2012-10-16T11:29:33Z,1600,Likely Voters,Automated Phone,46.0,50.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15824,http://www.dailykos.com/weeklypolling/2012/10/12,Sponsor,Dem,,1
ARG,2012-10-11,2012-10-14,2012-10-15T10:55:35Z,1200,Likely Voters,Live Phone,47.0,48.0,4.0,1.0,https://elections.huffingtonpost.com/pollster/polls/arg-15782,http://americanresearchgroup.com/pres2012/NA12-5.html,Nonpartisan,None,,1
Gallup,2012-10-08,2012-10-14,2012-10-15T13:01:18Z,2700,Likely Voters,Live Phone,47.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-15796,http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx,Nonpartisan,None,,1
JZ Analytics/Newsmax,2012-10-12,2012-10-13,2012-10-14T22:53:08Z,863,Likely Voters,Internet,47.0,44.0,9.0,,https://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-15776,http://www.forbes.com/sites/johnzogby/2012/10/14/brand-new-nationwide-poll-obama-47-romney-44/,Sponsor,Rep,,1
ABC/Post,2012-10-10,2012-10-13,2012-10-15T00:34:14Z,923,Likely Voters,Live Phone,49.0,46.0,2.0,2.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-15778,http://www.langerresearch.com/uploads/1142a12012ElectionUpdate.pdf,Nonpartisan,None,,1
Rasmussen,2012-10-10,2012-10-12,2012-10-13T13:42:21Z,1500,Likely Voters,Automated Phone,48.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15761,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-10-07,2012-10-11,2012-10-15T10:21:23Z,1000,Likely Voters,Live Phone,49.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15781,http://www.politico.com/news/stories/1012/82389.html,Nonpartisan,None,,1
Monmouth,2012-10-08,2012-10-10,2012-10-11T12:49:24Z,1360,Likely Voters,IVR/Live Phone,46.0,47.0,5.0,2.0,https://elections.huffingtonpost.com/pollster/polls/monmouth-15702,http://www.monmouth.edu/assets/0/84/159/2147483694/f84548f8-7dcc-4d33-9b5c-56d2e18df7f5.pdf,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-10-06,2012-10-10,2012-10-10T15:54:27Z,1027,Likely Voters,Internet,44.0,45.0,7.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15669,http://www.reuters.com/article/2012/10/10/us-usa-campaign-poll-idUSBRE8991FR20121010,Nonpartisan,None,,1
UPI/CVOTER,2012-10-04,2012-10-10,2012-10-11T10:19:58Z,1110,Likely Voters,Live Phone,46.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-15686,http://big.assets.huffingtonpost.com/UPICvoter1012.pdf,Nonpartisan,None,,1
FOX,2012-10-07,2012-10-09,2012-10-10T18:01:05Z,1092,Likely Voters,Live Phone,45.0,46.0,7.0,2.0,https://elections.huffingtonpost.com/pollster/polls/fox-15675,http://www.foxnews.com/politics/interactive/2012/10/10/fox-news-poll-race-shifts-toward-romney-after-debate/,Nonpartisan,None,,1
Rasmussen,2012-10-07,2012-10-09,2012-10-10T09:55:44Z,1500,Likely Voters,Automated Phone,47.0,48.0,4.0,1.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15643,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
IBD/TIPP,2012-10-04,2012-10-09,2012-10-10T14:21:59Z,757,Likely Voters,Live Phone,44.0,49.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/ibd-tipp-15663,http://www.tipponline.com/home/tracking-poll/todays-daily-tracking-poll,Nonpartisan,None,,1
YouGov/Economist,2012-10-06,2012-10-08,2012-10-10T10:55:41Z,763,Likely Voters,Internet,49.0,46.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-15646,http://cdn.yougov.com/cumulus_uploads/document/oskexcz53d/econToplines.pdf,Nonpartisan,None,,1
ARG,2012-10-05,2012-10-08,2012-10-09T11:49:33Z,1200,Likely Voters,Live Phone,47.0,48.0,4.0,1.0,https://elections.huffingtonpost.com/pollster/polls/arg-15626,http://americanresearchgroup.com/pres2012/NA12.html,Nonpartisan,None,,1
